Timestamp,Where did you reserve your Steam Deck?,Which model did you reserve?,What is your estimate?,What is your timestamp?,How experienced are you with Linux?,Would you like to Dual Boot Windows on your Steam Deck?
19/01/2022 23:42:29,EU,512 GB,Q2 (Used to be Q1),1626784709,I am still using Linux frequently.,No
19/01/2022 23:42:39,EU,512 GB,Q2 (Used to be Q1),1626459408,I have no Linux experience,No
19/01/2022 23:43:08,US,256 GB,Q2 (Used to be Q1),1626455763,"I run Linux on Servers, but not on my PC.",No
19/01/2022 23:43:12,EU,64 GB,Q2 (Used to be Q1),1626645330,I am still using Linux frequently.,No
19/01/2022 23:44:45,EU,256 GB,Q1 (Still Q1),1626456517,I am still using Linux frequently.,Yes
19/01/2022 23:44:52,US,512 GB,Q2 (Used to be Q1),1626455492,I tried it once or twice before.,No
19/01/2022 23:45:13,EU,512 GB,After Q2 (No change),+1,I tried it once or twice before.,Yes
19/01/2022 23:45:25,US,256 GB,After Q2 (No change),1633961964,I tried it once or twice before.,No
19/01/2022 23:45:32,US,512 GB,Q2 (Used to be Q1),1626457522,I tried it once or twice before.,Yes
19/01/2022 23:46:01,US,64 GB,After Q2 (Used to be Q2),7/17/21 9:30pm,I have seen it before.,No
19/01/2022 23:46:20,US,256 GB,Q2 (Used to be Q1),1626457291,I have seen it before.,No
19/01/2022 23:46:40,EU,256 GB,Q1 (Used to be December),21,I have no Linux experience,No
19/01/2022 23:47:29,US,256 GB,Q2 (Used to be Q1),1626463382,I have seen it before.,No
19/01/2022 23:48:01,US,64 GB,After Q2 (No change),1627343015,I am still using Linux frequently.,No
19/01/2022 23:48:26,US,256 GB,After Q2 (No change),1638055302,I tried it once or twice before.,No
19/01/2022 23:48:33,EU,512 GB,Q2 (Still Q2),1626559150,I am still using Linux frequently.,No
19/01/2022 23:48:37,US,512 GB,After Q2 (Used to be Q2),1626459861,I used Linux frequently in the past.,No
19/01/2022 23:48:44,US,512 GB,Q2 (Used to be Q1),1626457662,I tried it once or twice before.,Yes
19/01/2022 23:49:01,EU,64 GB,Q2 (Used to be Q1),1626458575,I am still using Linux frequently.,Yes
19/01/2022 23:49:50,UK,512 GB,After Q2 (Used to be Q2),"		Jul 16, 2021 @ 6:40pm GMT",I have no Linux experience,Yes
19/01/2022 23:49:52,US,256 GB,After Q2 (No change),1626523875,I have no Linux experience,No
19/01/2022 23:49:57,EU,512 GB,Q2 (Used to be Q1),1626466898,I am still using Linux frequently.,No
19/01/2022 23:50:37,US,64 GB,After Q2 (Used to be Q2),7/17/2021 21:30:00,I have seen it before.,No
19/01/2022 23:51:00,US,512 GB,After Q2 (Used to be Q2),1626461649,I have no Linux experience,No
19/01/2022 23:51:19,US,512 GB,Q1 (Used to be December),1626454856,I tried it once or twice before.,No
